,B1,B2,B3,B1,B2,B3,B1,B2,B3,B1,B2,B3,B1,B2,B3
ID,4_21_24,4_21_24,4_21_24,5_1_24,5_1_24,5_1_24,11_8_24,11_8_24,11_8_24,11_16_24,11_16_24,11_16_24,11_22_24,11_22_24,11_22_24
96,8,5,5,7,7,7,3,4,6,4,4,6,5,5,6
97,5,7,5,6,9,6,2,-,2,3,-,6,5,-,6
98,4,2,6,7,7,6,2,1,1,4,2,2,6,3,3
99,6,7,5,7,7,7,2,2,3,3,3,4,4,4,5
100,4,6,6,6,7,8,1,2,2,4,3,4,6,4,5
101,5,6,4,5,8,6,3,1,2,5,4,4,7,6,5
102,5,1,5,4,1,6,2,1,1,5,4,3,7,5,4
103,5,6,6,6,4,7,2,3,2,5,4,4,8,4,5
104,5,8,5,10,10,7,1,1,2,4,6,3,6,6,4
105,7,8,4,9,7,6,2,1,1,5,5,3,6,7,5
106,6,6,6,7,7,5,4,-,-,6,-,-,7,-,-
107,6,2,3,6,5,6,3,2,2,4,4,5,7,5,5
108,6,6,2,3,8,6,2,3,1,4,5,4,5,7,5
109,5,6,3,4,9,5,4,4,3,5,5,5,6,6,3
110,6,7,5,4,7,7,3,1,2,4,3,4,6,4,4
111,6,6,3,5,8,-,3,1,1,4,4,3,5,4,4
112,5,2,4,7,4,3,3,1,2,4,3,3,6,4,2
113,6,6,6,5,7,8,2,2,4,4,5,5,4,6,5
114,7,6,4,7,8,2,3,1,2,4,4,5,4,4,5
115,5,1,4,5,8,4,2,1,1,4,4,4,5,4,5
116,5,6,5,6,4,5,2,2,3,4,5,5,6,4,6
117,6,5,3,7,7,4,4,2,2,5,4,3,5,6,3
118,6,2,8,7,9,10,1,1,2,4,4,4,6,7,6
119,6,4,6,7,4,8,2,-,-,4,-,-,4,-,-
120,6,7,6,4,8,6,2,2,2,4,4,4,6,4,4
121,5,5,3,5,5,5,2,2,1,4,4,3,7,5,4
122,6,7,5,4,7,7,2,2,2,4,3,4,5,2,4
123,4,7,5,1,8,4,-,3,1,-,3,4,6,3,4
124,6,2,4,6,3,5,2,2,3,5,4,3,5,5,3
125,-,-,-,-,-,-,1,-,10,-,-,-,-,-,-
126,7,7,3,6,6,5,-,-,-,-,-,-,-,-,-
127,2,3,4,2,2,2,2,1,3,4,4,4,6,3,5
128,5,6,3,7,5,6,2,3,1,4,4,3,6,6,4
129,4,4,4,7,3,3,2,1,2,4,4,3,5,5,2
130,5,7,1,4,8,4,3,3,2,5,5,4,8,6,5
131,3,6,5,6,5,6,2,2,2,4,4,4,5,6,6
